0, 1.04203, 1.04203
1, 1.10727, 1.08708
2, 1.29135, 1.21726
3, 1.48485, 1.37662
4, 1.72826, 1.56866
5, 1.74216, 1.6825
6, 2.11672, 1.8836
7, 2.14529, 2.0217
8, 2.1603, 2.11578
9, 2.21269, 2.19069
10, 2.57709, 2.3334
11, 2.66822, 2.45705
12, 2.51642, 2.50951
13, 2.76034, 2.59713
14, 2.88132, 2.68559
15, 2.88374, 2.74987
16, 2.94485, 2.80713
17, 2.82867, 2.82256
18, 3.00066, 2.86204
19, 3.12921, 2.914
20, 2.85836, 2.89637
21, 2.83808, 2.86967
22, 2.68975, 2.8097
23, 2.66533, 2.74668
24, 2.81613, 2.71797
25, 2.81004, 2.688
26, 2.88322, 2.67404
27, 2.69789, 2.62113
28, 2.43422, 2.51844
29, 2.23465, 2.3864
30, 2.30279, 2.28523
31, 2.0207, 2.13925
32, 1.94394, 1.99756
33, 1.82498, 1.85172
34, 1.52526, 1.66611
35, 1.86968, 1.57765
36, 1.18073, 1.36503
37, 1.1073, 1.16943
38, 0.916168, 0.965763
39, 0.678548, 0.746617
40, 0.562382, 0.53849
41, 0.355468, 0.322791
42, -0.155607, 0.0427047
43, -0.287199, -0.219931
44, -0.602973, -0.501726
0, 1.04203, 1.04203
1, 1.10727, 1.08708
2, 1.29135, 1.21726
3, 1.48485, 1.37662
4, 1.72826, 1.56866
5, 1.74216, 1.6825
6, 2.11672, 1.8836
7, 2.14529, 2.0217
8, 2.1603, 2.11578
9, 2.21269, 2.19069
10, 2.57709, 2.3334
11, 2.66822, 2.45705
12, 2.51642, 2.50951
13, 2.76034, 2.59713
14, 2.88132, 2.68559
15, 2.88374, 2.74987
16, 2.94485, 2.80713
17, 2.82867, 2.82256
18, 3.00066, 2.86204
19, 3.12921, 2.914
20, 2.85836, 2.89637
21, 2.83808, 2.86967
22, 2.68975, 2.8097
23, 2.66533, 2.74668
24, 2.81613, 2.71797
25, 2.81004, 2.688
26, 2.88322, 2.67404
27, 2.69789, 2.62113
28, 2.43422, 2.51844
29, 2.23465, 2.3864
30, 2.30279, 2.28523
31, 2.0207, 2.13925
32, 1.94394, 1.99756
33, 1.82498, 1.85172
34, 1.52526, 1.66611
35, 1.86968, 1.57765
36, 1.18073, 1.36503
37, 1.1073, 1.16943
38, 0.916168, 0.965763
39, 0.678548, 0.746617
40, 0.562382, 0.53849
41, 0.355468, 0.322791
42, -0.155607, 0.0427047
43, -0.287199, -0.219931
44, -0.602973, -0.501726
